0.1,1,0.00119856172593,1.0
0.2,1,0.00142508143322,0.777777777778
0.3,1,0.00183089214381,0.611111111111
0.4,1,0.00262123197903,0.555555555556
0.5,1,0.00204498977505,0.277777777778
0.6,1,0.00311526479751,0.222222222222
0.7,1,0.00246913580247,0.111111111111
0.8,1,0.0019801980198,0.0555555555556
0.9,1,0.0036231884058,0.0555555555556
1.0,1,0.0,0.0
1.1,1,0.0,0.0
1.2,1,0.0,0.0
1.3,1,0.0,0.0
1.4,1,0.0,0.0
1.5,1,0.0,0.0
1.6,1,0.0,0.0
1.7,1,0.0,0.0
1.8,1,0.0,0.0
1.9,1,0.0,0.0
2.0,1,0.0,0.0
2.1,1,0.0,0.0
2.2,1,0.0,0.0
2.3,1,0.0,0.0
2.4,1,0.0,0.0
2.5,1,0.0,0.0
2.6,1,-1.0,0.0
2.7,1,-1.0,0.0
2.8,1,-1.0,0.0
2.9,1,-1.0,0.0
3.0,1,-1.0,0.0
3.1,1,-1.0,0.0
3.2,1,-1.0,0.0
3.3,1,-1.0,0.0
3.4,1,-1.0,0.0
3.5,1,-1.0,0.0
3.6,1,-1.0,0.0
3.7,1,-1.0,0.0
3.8,1,-1.0,0.0
3.9,1,-1.0,0.0
4.0,1,-1.0,0.0
4.1,1,-1.0,0.0
4.2,1,-1.0,0.0
4.3,1,-1.0,0.0
4.4,1,-1.0,0.0
4.5,1,-1.0,0.0
4.6,1,-1.0,0.0
4.7,1,-1.0,0.0
4.8,1,-1.0,0.0
4.9,1,-1.0,0.0
5.0,1,-1.0,0.0
